Movie title,Release year,Ratings,User count,Director,Language,IMDB link
Babam ve Oglum,(2005),8.1,"74,660",Çagan Irmak,Turkish ,https://www.imdb.com/title/tt0476735/
"Three Billboards Outside Ebbing, Missouri",(2017),8.1,"399,215",Martin McDonagh,English ,https://www.imdb.com/title/tt5027774/
The Gold Rush,(1925),8.1,"95,445",Charles Chaplin,English None ,https://www.imdb.com/title/tt0015864/
Dial M for Murder,(1954),8.1,"150,353",Alfred Hitchcock,See more ,https://www.imdb.com/title/tt0046912/
Chinatown,(1974),8.1,"282,101",Roman Polanski,See more ,https://www.imdb.com/title/tt0071315/
V for Vendetta,(2005),8.1,"996,569",James McTeigue,English ,https://www.imdb.com/title/tt0434409/
Det sjunde inseglet,(1957),8.1,"155,772",Ingmar Bergman,See more ,https://www.imdb.com/title/tt0050976/
No Country for Old Men,(2007),8.1,"816,412",Ethan Coen,English Spanish ,https://www.imdb.com/title/tt0477348/
Inside Out,(2015),8.1,"582,204",Pete Docter,English ,https://www.imdb.com/title/tt2096673/
Shutter Island,(2010),8.1,"1,078,126",Martin Scorsese,See more ,https://www.imdb.com/title/tt1130884/
Warrior,(2011),8.1,"422,593",Gavin O'Connor,English Spanish ,https://www.imdb.com/title/tt1291584/
The Elephant Man,(1980),8.1,"211,216",David Lynch,See more ,https://www.imdb.com/title/tt0080678/
Trainspotting,(1996),8.1,"617,065",Danny Boyle,English ,https://www.imdb.com/title/tt0117951/
The Sixth Sense,(1999),8.1,"884,397",M. Night Shyamalan,See more ,https://www.imdb.com/title/tt0167404/
The Thing,(1982),8.1,"354,131",John Carpenter,See more ,https://www.imdb.com/title/tt0084787/
Jurassic Park,(1993),8.1,"830,550",Steven Spielberg,English Spanish ,https://www.imdb.com/title/tt0107290/
Gone with the Wind,(1939),8.1,"278,435",Victor Fleming,English ,https://www.imdb.com/title/tt0031381/
Room,(2015),8.1,"348,673",Lenny Abrahamson,English ,https://www.imdb.com/title/tt3170832/
Smultronstället,(1957),8.1,"90,799",Ingmar Bergman,See more ,https://www.imdb.com/title/tt0050986/
Blade Runner,(1982),8.1,"668,471",Ridley Scott,English German Cantonese Japanese Hungarian Arabic ,https://www.imdb.com/title/tt0083658/
Finding Nemo,(2003),8.1,"917,281",Andrew Stanton,English ,https://www.imdb.com/title/tt0266543/
The Bridge on the River Kwai,(1957),8.1,"195,978",David Lean,See more ,https://www.imdb.com/title/tt0050212/
Stalker,(1979),8.1,"108,802",Andrei Tarkovsky,See more ,https://www.imdb.com/title/tt0079944/
The Truman Show,(1998),8.1,"893,714",Peter Weir,English ,https://www.imdb.com/title/tt0120382/
On the Waterfront,(1954),8.1,"136,235",Elia Kazan,English ,https://www.imdb.com/title/tt0047296/
The Third Man,(1949),8.1,"153,088",Carol Reed,See more ,https://www.imdb.com/title/tt0041959/
Kill Bill: Vol. 1,(2003),8.1,"964,401",Quentin Tarantino,English Japanese French ,https://www.imdb.com/title/tt0266697/
Fargo,(1996),8.1,"592,961",Joel Coen,English ,https://www.imdb.com/title/tt0116282/
Gran Torino,(2008),8.1,"699,675",Clint Eastwood,English Hmong ,https://www.imdb.com/title/tt1205489/
Tôkyô monogatari,(1953),8.1,"48,758",Yasujirô Ozu,See more ,https://www.imdb.com/title/tt0046438/
The Deer Hunter,(1978),8.1,"300,204",Michael Cimino,See more ,https://www.imdb.com/title/tt0077416/
Salinui chueok,(2003),8.1,"122,696",Bong Joon Ho,Korean English ,https://www.imdb.com/title/tt0353969/
Relatos salvajes,(2014),8.1,"166,151",Damián Szifron,Spanish ,https://www.imdb.com/title/tt3011894/
Klaus,(2019),8.1,"68,956",Sergio Pablos,English Saami ,https://www.imdb.com/title/tt4729430/
Eskiya,(1996),8.1,"60,576",Yavuz Turgul,See more ,https://www.imdb.com/title/tt0116231/
Andhadhun,(2018),8.1,"61,135",Sriram Raghavan,Hindi English ,https://www.imdb.com/title/tt8108198/
Mary and Max,(2009),8.1,"158,954",Adam Elliot,English Yiddish ,https://www.imdb.com/title/tt0978762/
The Big Lebowski,(1998),8.1,"701,373",Joel Coen,See more ,https://www.imdb.com/title/tt0118715/
In the Name of the Father,(1993),8.1,"150,060",Jim Sheridan,See more ,https://www.imdb.com/title/tt0107207/
Gone Girl,(2014),8.1,"818,746",David Fincher,English ,https://www.imdb.com/title/tt2267998/
Hacksaw Ridge,(2016),8.1,"408,284",Mel Gibson,English Japanese ,https://www.imdb.com/title/tt2119532/
The Grand Budapest Hotel,(2014),8.1,"676,842",Wes Anderson,English French German ,https://www.imdb.com/title/tt2278388/
Persona,(1966),8.1,"96,068",Ingmar Bergman,See more ,https://www.imdb.com/title/tt0060827/
To Be or Not to Be,(1942),8.1,"25,650",Ernst Lubitsch,See more ,https://www.imdb.com/title/tt0035446/
Ford v. Ferrari,(2019),8.1,"216,685",James Mangold,English Italian French Japanese ,https://www.imdb.com/title/tt1950186/
Before Sunrise,(1995),8.1,"256,681",Richard Linklater,See more ,https://www.imdb.com/title/tt0112471/
Catch Me If You Can,(2002),8.1,"783,734",Steven Spielberg,English French ,https://www.imdb.com/title/tt0264464/
The General,(1926),8.1,"77,198",Clyde Bruckman,See more ,https://www.imdb.com/title/tt0017925/
How to Train Your Dragon,(2010),8.1,"643,679",Dean DeBlois,English ,https://www.imdb.com/title/tt0892769/
Mr. Smith Goes to Washington,(1939),8.1,"103,004",Frank Capra,See more ,https://www.imdb.com/title/tt0031679/
Sherlock Jr.,(1924),8.1,"38,190",Buster Keaton,See more ,https://www.imdb.com/title/tt0015324/
Prisoners,(2013),8.1,"569,889",Denis Villeneuve,English ,https://www.imdb.com/title/tt1392214/
12 Years a Slave,(2013),8.1,"615,010",Steve McQueen,English ,https://www.imdb.com/title/tt2024544/
Mad Max: Fury Road,(2015),8.1,"840,391",George Miller,English Russian ,https://www.imdb.com/title/tt1392190/
Cool Hand Luke,(1967),8.1,"156,217",Stuart Rosenberg,See more ,https://www.imdb.com/title/tt0061512/
Barry Lyndon,(1975),8.1,"142,421",Stanley Kubrick,See more ,https://www.imdb.com/title/tt0072684/
Network,(1976),8.1,"139,571",Sidney Lumet,See more ,https://www.imdb.com/title/tt0074958/
Le salaire de la peur,(1953),8.1,"51,811",Henri-Georges Clouzot,See more ,https://www.imdb.com/title/tt0046268/
Stand by Me,(1986),8.1,"350,470",Rob Reiner,English ,https://www.imdb.com/title/tt0092005/
Into the Wild,(2007),8.1,"551,760",Sean Penn,English Danish ,https://www.imdb.com/title/tt0758758/
Million Dollar Baby,(2004),8.1,"615,269",Clint Eastwood,English Irish ,https://www.imdb.com/title/tt0405159/
Hachi: A Dog's Tale,(2009),8.1,"241,361",Lasse Hallström,English Japanese ,https://www.imdb.com/title/tt1028532/
Life of Brian,(1979),8.1,"354,508",Terry Jones,See more ,https://www.imdb.com/title/tt0079470/
Ben-Hur,(1959),8.1,"212,162",William Wyler,See more ,https://www.imdb.com/title/tt0052618/
Platoon,(1986),8.1,"369,076",Oliver Stone,English Vietnamese ,https://www.imdb.com/title/tt0091763/
Rush,(2013),8.1,"416,682",Ron Howard,English German Italian French Spanish ,https://www.imdb.com/title/tt1979320/
Dead Poets Society,(1989),8.0,"403,090",Peter Weir,See more ,https://www.imdb.com/title/tt0097165/
Logan,(2017),8.0,"615,789",James Mangold,English Spanish ,https://www.imdb.com/title/tt3315342/
Harry Potter and the Deathly Hallows: Part 2,(2011),8.0,"732,743",David Yates,English ,https://www.imdb.com/title/tt1201607/
La passion de Jeanne d'Arc,(1928),8.0,"44,632",Carl Theodor Dreyer,See more ,https://www.imdb.com/title/tt0019254/
Andrei Rublev,(1966),8.0,"43,494",Andrei Tarkovsky,See more ,https://www.imdb.com/title/tt0060107/
Les quatre cents coups,(1959),8.0,"99,674",François Truffaut,See more ,https://www.imdb.com/title/tt0053198/
Hotel Rwanda,(2004),8.0,"325,987",Terry George,English French Kinyarwanda ,https://www.imdb.com/title/tt0395169/
Amores perros,(2000),8.0,"216,542",Alejandro G. Iñárritu,See more ,https://www.imdb.com/title/tt0245712/
Ah-ga-ssi,(2016),8.0,"99,237",Chan-wook Park,Korean Japanese ,https://www.imdb.com/title/tt4016934/
Spotlight,(2015),8.0,"398,237",Tom McCarthy,English ,https://www.imdb.com/title/tt1895587/
Rang De Basanti,(2006),8.0,"106,789",Rakeysh Omprakash Mehra,See more ,https://www.imdb.com/title/tt0405508/
Kaze no tani no Naushika,(1984),8.0,"140,837",Hayao Miyazaki,Japanese ,https://www.imdb.com/title/tt0087544/
Rocky,(1976),8.0,"499,792",John G. Avildsen,English ,https://www.imdb.com/title/tt0075148/
Rebecca,(1940),8.0,"117,351",Alfred Hitchcock,See more ,https://www.imdb.com/title/tt0032976/
"Monsters, Inc.",(2001),8.0,"785,480",Pete Docter,English ,https://www.imdb.com/title/tt0198781/
La haine,(1995),8.0,"140,889",Mathieu Kassovitz,French ,https://www.imdb.com/title/tt0113247/
